order id,return date,return reason,days to return
ORD00000405,28-05-2023,Defective,18
ORD00000406,,,
ORD00000407,19-09-2023,Wrong item,29
ORD00000408,20-12-2024,Wrong item,16
ORD00000409,,,
ORD00000410,,,
ORD00000411,,,
ORD00000412,,,
ORD00000413,13-11-2023,Not as described,12
ORD00000414,25-08-2023,Defective,8
ORD00000415,16-04-2023,Changed mind,29
ORD00000416,,,
ORD00000417,01-10-2023,Not as described,7
ORD00000418,27-04-2024,Changed mind,13
ORD00000419,,,
ORD00000420,02-09-2024,Defective,25
ORD00000421,23-08-2023,Defective,14
ORD00000422,,,
ORD00000423,,,
ORD00000424,,,
ORD00000425,12-03-2023,Wrong item,24
ORD00000426,,,
ORD00000427,,,
ORD00000428,04-01-2025,Defective,24
ORD00000429,29-06-2023,Defective,23
ORD00000430,17-05-2024,Wrong item,21
ORD00000431,19-03-2023,Not as described,25
ORD00000432,26-10-2023,Not as described,15
ORD00000433,21-10-2023,Wrong item,28
ORD00000434,08-07-2023,Wrong item,1
ORD00000435,,,
ORD00000436,,,
ORD00000437,,,
ORD00000438,,,
ORD00000439,11-02-2023,Changed mind,30
ORD00000440,03-11-2024,Defective,22
ORD00000441,,,
ORD00000442,,,
ORD00000443,17-03-2024,Changed mind,16
ORD00000444,,,
ORD00000445,07-06-2023,Wrong item,29
ORD00000446,,,
ORD00000447,,,
ORD00000448,,,
ORD00000449,,,
ORD00000450,,,
ORD00000451,,,
ORD00000452,25-09-2024,Not as described,4
ORD00000453,28-07-2023,Not as described,2
ORD00000454,,,
ORD00000455,,,
ORD00000456,30-07-2024,Defective,21
ORD00000457,,,
ORD00000458,06-12-2023,Changed mind,21
ORD00000459,18-02-2024,Wrong item,16
ORD00000460,,,
ORD00000461,,,
ORD00000462,,,
ORD00000463,15-05-2023,Not as described,28
ORD00000464,26-08-2023,Changed mind,15
ORD00000465,17-06-2023,Changed mind,15
ORD00000466,,,
ORD00000467,04-11-2024,Wrong item,25
ORD00000468,29-01-2023,Changed mind,9
ORD00000469,,,
ORD00000470,,,
ORD00000471,,,
ORD00000472,28-01-2024,Wrong item,17
ORD00000473,,,
ORD00000474,21-04-2024,Changed mind,29
ORD00000475,26-07-2023,Changed mind,17
ORD00000476,09-02-2023,Defective,10
ORD00000477,,,
ORD00000478,05-05-2024,Changed mind,11
ORD00000479,,,
ORD00000480,08-02-2024,Defective,23
ORD00000481,15-12-2023,Not as described,22
ORD00000482,22-06-2023,Not as described,14
ORD00000483,05-03-2024,Defective,20
ORD00000484,15-03-2023,Changed mind,2
ORD00000485,27-04-2024,Changed mind,13
ORD00000486,24-11-2023,Not as described,25
ORD00000487,,,
ORD00000488,08-03-2024,Changed mind,23
ORD00000489,,,
ORD00000490,23-08-2024,Wrong item,7
ORD00000491,,,
ORD00000492,09-01-2023,Changed mind,6
ORD00000493,13-09-2023,Wrong item,30
ORD00000494,22-04-2023,Wrong item,6
ORD00000495,,,
ORD00000496,11-06-2024,Wrong item,29
ORD00000497,22-06-2023,Changed mind,1
ORD00000498,19-07-2023,Not as described,23
ORD00000499,,,
ORD00000500,,,
ORD00000501,,,
ORD00000502,,,
ORD00000503,07-05-2024,Wrong item,9
ORD00000504,07-05-2024,Defective,19
ORD00000505,,,
ORD00000506,,,
ORD00000507,,,
ORD00000508,07-02-2024,Not as described,4
ORD00000509,,,
ORD00000510,25-04-2023,Changed mind,18
ORD00000511,,,
ORD00000512,,,
ORD00000513,15-08-2023,Not as described,12
ORD00000514,10-01-2024,Wrong item,14
ORD00000515,,,
ORD00000516,,,
ORD00000517,,,
ORD00000518,06-08-2024,Not as described,15
ORD00000519,01-07-2023,Changed mind,24
ORD00000520,,,
ORD00000521,,,
ORD00000522,,,
ORD00000523,,,
ORD00000524,,,
ORD00000525,,,
ORD00000526,,,
ORD00000527,,,
ORD00000528,,,
ORD00000529,16-01-2024,Changed mind,0
ORD00000530,26-01-2023,Not as described,0
ORD00000531,,,
ORD00000532,24-08-2024,Not as described,22
ORD00000533,21-10-2024,Changed mind,9
ORD00000534,,,
ORD00000535,,,
ORD00000536,10-08-2024,Not as described,28
ORD00000537,16-12-2023,Defective,22
ORD00000538,11-12-2024,Wrong item,8
ORD00000539,,,
ORD00000540,13-04-2024,Wrong item,29
ORD00000541,13-09-2024,Changed mind,14
ORD00000542,,,
ORD00000543,01-05-2023,Defective,14
ORD00000544,,,
ORD00000545,,,
ORD00000546,,,
ORD00000547,12-09-2024,Wrong item,12
ORD00000548,,,
ORD00000549,11-02-2024,Not as described,20
ORD00000550,12-07-2023,Changed mind,26
ORD00000551,,,
ORD00000552,,,
ORD00000553,,,
ORD00000554,23-10-2023,Not as described,28
ORD00000555,07-12-2023,Wrong item,25
ORD00000556,,,
ORD00000557,23-01-2023,Defective,3
ORD00000558,,,
ORD00000559,,,
ORD00000560,23-12-2023,Defective,28
ORD00000561,,,
ORD00000562,14-10-2024,Wrong item,18
ORD00000563,,,
ORD00000564,15-03-2023,Not as described,15
ORD00000565,19-04-2023,Defective,8
ORD00000566,06-01-2024,Wrong item,1
ORD00000567,20-09-2023,Defective,2
ORD00000568,06-02-2023,Changed mind,1
ORD00000569,,,
ORD00000570,29-11-2023,Not as described,12
ORD00000571,,,
ORD00000572,22-12-2023,Changed mind,6
ORD00000573,,,
ORD00000574,,,
ORD00000575,16-12-2024,Changed mind,16
ORD00000576,,,
ORD00000577,17-05-2024,Defective,7
ORD00000578,,,
ORD00000579,12-10-2023,Changed mind,22
ORD00000580,13-10-2024,Defective,25
ORD00000581,17-12-2024,Not as described,27
ORD00000582,,,
ORD00000583,21-02-2024,Wrong item,16
ORD00000584,09-10-2024,Defective,15
ORD00000585,22-11-2024,Not as described,30
ORD00000586,,,
ORD00000587,,,
ORD00000588,12-12-2023,Not as described,25
ORD00000589,09-08-2024,Changed mind,23
ORD00000590,,,
ORD00000591,,,
ORD00000592,29-03-2023,Defective,26
ORD00000593,,,
ORD00000594,16-11-2024,Changed mind,28
ORD00000595,14-01-2024,Defective,0
ORD00000596,29-01-2024,Changed mind,29
ORD00000597,,,
ORD00000598,,,
ORD00000599,17-10-2023,Wrong item,2
ORD00000600,18-01-2024,Defective,10
ORD00000601,24-02-2023,Not as described,11
ORD00000602,19-01-2025,Defective,26
ORD00000603,,,
ORD00000604,,,
ORD00000605,22-06-2024,Defective,13
ORD00000606,,,
ORD00000607,14-04-2023,Not as described,30
ORD00000608,26-03-2023,Wrong item,17
ORD00000609,,,
ORD00000610,,,
ORD00000611,,,
ORD00000612,19-03-2024,Not as described,22
ORD00000613,,,
ORD00000614,,,
ORD00000615,05-05-2023,Not as described,14
ORD00000616,,,
ORD00000617,,,
ORD00000618,05-12-2023,Changed mind,28
ORD00000619,,,
ORD00000620,05-02-2023,Changed mind,28
ORD00000621,01-01-2024,Defective,17
ORD00000622,,,
ORD00000623,,,
ORD00000624,,,
ORD00000625,31-01-2023,Changed mind,28
ORD00000626,02-11-2024,Defective,23
ORD00000627,29-05-2024,Changed mind,29
ORD00000628,,,
ORD00000629,01-05-2023,Not as described,13
ORD00000630,14-06-2023,Defective,28
ORD00000631,31-05-2024,Defective,1
ORD00000632,30-01-2023,Wrong item,0
ORD00000633,,,
ORD00000634,01-02-2024,Defective,15
ORD00000635,29-06-2024,Not as described,21
ORD00000636,,,
ORD00000637,,,
ORD00000638,17-07-2023,Wrong item,28
ORD00000639,14-06-2024,Changed mind,23
ORD00000640,,,
ORD00000641,,,
ORD00000642,14-10-2024,Wrong item,28
ORD00000643,,,
ORD00000644,,,
ORD00000645,,,
ORD00000646,,,
ORD00000647,,,
ORD00000648,,,
ORD00000649,19-03-2024,Wrong item,30
ORD00000650,,,
ORD00000651,27-08-2024,Changed mind,26
ORD00000652,23-07-2024,Wrong item,30
ORD00000653,,,
ORD00000654,23-07-2023,Wrong item,10
ORD00000655,,,
ORD00000656,,,
ORD00000657,,,
ORD00000658,,,
ORD00000659,01-03-2024,Not as described,6
ORD00000660,28-06-2023,Defective,0
ORD00000661,14-08-2024,Wrong item,1
ORD00000662,,,
ORD00000663,24-09-2023,Not as described,12
ORD00000664,23-05-2024,Defective,20
ORD00000665,13-07-2024,Defective,23
ORD00000666,,,
ORD00000667,,,
ORD00000668,11-10-2024,Defective,23
ORD00000669,,,
ORD00000670,04-02-2023,Not as described,27
ORD00000671,31-03-2024,Defective,19
ORD00000672,,,
ORD00000673,,,
ORD00000674,17-09-2023,Wrong item,2
ORD00000675,19-09-2024,Changed mind,21
ORD00000676,,,
ORD00000677,,,
ORD00000678,22-06-2023,Wrong item,16
ORD00000679,,,
ORD00000680,13-11-2024,Wrong item,4
ORD00000681,,,
ORD00000682,24-05-2023,Changed mind,9
ORD00000683,25-06-2024,Changed mind,21
ORD00000684,06-01-2025,Defective,21
ORD00000685,,,
ORD00000686,30-10-2024,Wrong item,1
ORD00000687,06-11-2024,Defective,28
ORD00000688,10-07-2024,Changed mind,28
ORD00000689,19-03-2023,Not as described,28
ORD00000690,31-08-2023,Changed mind,11
ORD00000691,,,
ORD00000692,13-04-2024,Wrong item,9
ORD00000693,,,
ORD00000694,10-12-2024,Changed mind,7
ORD00000695,,,
ORD00000696,,,
ORD00000697,15-02-2023,Not as described,6
ORD00000698,,,
ORD00000699,,,
ORD00000700,,,
ORD00000701,,,
ORD00000702,,,
ORD00000703,16-06-2023,Not as described,18
ORD00000704,24-09-2024,Wrong item,17
ORD00000705,,,
ORD00000706,12-11-2023,Defective,14
ORD00000707,30-03-2023,Wrong item,17
ORD00000708,,,
ORD00000709,,,
ORD00000710,16-10-2023,Wrong item,4
ORD00000711,,,
ORD00000712,03-04-2024,Defective,9
ORD00000713,,,
ORD00000714,10-03-2023,Not as described,15
ORD00000715,,,
ORD00000716,30-04-2024,Wrong item,9
ORD00000717,,,
ORD00000718,,,
ORD00000719,01-07-2024,Defective,2
ORD00000720,,,
ORD00000721,11-04-2023,Wrong item,29
ORD00000722,01-01-2025,Defective,9
ORD00000723,18-08-2023,Defective,11
ORD00000724,,,
ORD00000725,17-06-2023,Defective,12
ORD00000726,,,
ORD00000727,,,
ORD00000728,,,
ORD00000729,,,
ORD00000730,,,
ORD00000731,,,
ORD00000732,,,
ORD00000733,,,
ORD00000734,,,
ORD00000735,09-06-2023,Not as described,11
ORD00000736,26-11-2023,Wrong item,22
ORD00000737,,,
ORD00000738,06-05-2024,Changed mind,12
ORD00000739,04-08-2023,Not as described,2
ORD00000740,12-02-2023,Changed mind,3
ORD00000741,21-11-2024,Changed mind,24
ORD00000742,,,
ORD00000743,29-04-2023,Not as described,11
ORD00000744,,,
ORD00000745,19-07-2023,Changed mind,20
ORD00000746,,,
ORD00000747,,,
ORD00000748,09-03-2023,Not as described,15
ORD00000749,24-08-2023,Changed mind,21
ORD00000750,06-07-2023,Changed mind,22
ORD00000751,,,
ORD00000752,05-07-2023,Changed mind,6
ORD00000753,02-10-2024,Wrong item,1
ORD00000754,01-08-2024,Wrong item,1
ORD00000755,05-11-2024,Defective,28
ORD00000756,,,
ORD00000757,30-04-2023,Defective,14
ORD00000758,,,
ORD00000759,18-05-2024,Wrong item,26
ORD00000760,17-03-2024,Wrong item,23
ORD00000761,22-03-2023,Defective,10
ORD00000762,18-02-2023,Changed mind,10
ORD00000763,01-06-2023,Changed mind,19
ORD00000764,,,
ORD00000765,26-04-2024,Wrong item,24
ORD00000766,09-09-2024,Wrong item,6
ORD00000767,10-01-2024,Changed mind,26
ORD00000768,,,
ORD00000769,,,
ORD00000770,,,
ORD00000771,27-05-2023,Wrong item,28
ORD00000772,,,
ORD00000773,,,
ORD00000774,,,
ORD00000775,02-02-2024,Wrong item,21
ORD00000776,,,
ORD00000777,30-03-2024,Changed mind,21
ORD00000778,,,
ORD00000779,28-05-2023,Defective,11
ORD00000780,05-08-2024,Not as described,9
ORD00000781,03-06-2023,Defective,3
ORD00000782,25-03-2024,Changed mind,16
ORD00000783,,,
ORD00000784,01-10-2023,Not as described,19
ORD00000785,,,
ORD00000786,05-01-2024,Wrong item,4
ORD00000787,12-05-2024,Wrong item,3
ORD00000788,,,
ORD00000789,07-11-2023,Not as described,27
ORD00000790,19-02-2023,Changed mind,24
ORD00000791,,,
ORD00000792,14-07-2023,Not as described,15
ORD00000793,,,
ORD00000794,27-06-2023,Not as described,16
ORD00000795,,,
ORD00000796,,,
ORD00000797,,,
ORD00000798,25-07-2024,Defective,11
ORD00000799,08-05-2024,Changed mind,24
ORD00000800,11-10-2024,Not as described,27
ORD00000801,28-01-2023,Changed mind,16
ORD00000802,28-06-2023,Wrong item,25
ORD00000803,,,
ORD00000804,,,
ORD00000805,18-09-2024,Changed mind,18
ORD00000806,07-03-2024,Not as described,14
ORD00000807,,,
ORD00000808,27-01-2025,Wrong item,28
ORD00000809,28-08-2023,Defective,6
ORD00000810,,,
ORD00000811,,,
ORD00000812,19-11-2024,Defective,21
ORD00000813,26-08-2023,Defective,16
ORD00000814,,,
ORD00000815,,,
ORD00000816,,,
ORD00000817,30-03-2023,Wrong item,9
ORD00000818,,,
ORD00000819,09-03-2023,Changed mind,12
ORD00000820,,,
ORD00000821,14-09-2023,Not as described,17
ORD00000822,,,
ORD00000823,,,
ORD00000824,31-05-2024,Defective,0
ORD00000825,25-06-2024,Defective,5
ORD00000826,18-12-2024,Not as described,13
ORD00000827,04-02-2024,Wrong item,27
ORD00000828,29-03-2023,Not as described,11
ORD00000829,19-10-2024,Changed mind,27
ORD00000830,15-01-2024,Defective,26
ORD00000831,,,
ORD00000832,,,
ORD00000833,26-02-2024,Not as described,29
ORD00000834,21-06-2024,Changed mind,14
ORD00000835,10-04-2023,Changed mind,27
ORD00000836,26-12-2024,Not as described,6
ORD00000837,29-10-2023,Changed mind,26
ORD00000838,,,
ORD00000839,,,
ORD00000840,21-11-2024,Not as described,13
ORD00000841,,,
ORD00000842,10-06-2023,Not as described,16
ORD00000843,01-11-2024,Not as described,26
ORD00000844,10-09-2024,Defective,8
ORD00000845,02-10-2024,Wrong item,13
ORD00000846,11-08-2024,Not as described,23
ORD00000847,,,
ORD00000848,27-07-2023,Defective,5
ORD00000849,,,
ORD00000850,,,
ORD00000851,,,
ORD00000852,,,
ORD00000853,24-11-2024,Wrong item,21
ORD00000854,,,
ORD00000855,,,
ORD00000856,,,
ORD00000857,23-06-2023,Wrong item,15
ORD00000858,,,
ORD00000859,25-04-2024,Changed mind,7
ORD00000860,28-03-2023,Changed mind,29
ORD00000861,,,
ORD00000862,27-11-2023,Defective,8
ORD00000863,,,
ORD00000864,22-08-2024,Changed mind,16
ORD00000865,,,
ORD00000866,,,
ORD00000867,28-08-2023,Defective,12
ORD00000868,,,
ORD00000869,,,
ORD00000870,,,
ORD00000871,,,
ORD00000872,,,
ORD00000873,06-12-2023,Not as described,14
ORD00000874,,,
ORD00000875,27-03-2023,Wrong item,22
ORD00000876,09-08-2023,Changed mind,9
ORD00000877,07-02-2024,Defective,6
ORD00000878,20-12-2023,Changed mind,25
ORD00000879,,,
ORD00000880,19-09-2023,Wrong item,25
ORD00000881,21-12-2023,Defective,13
ORD00000882,,,
ORD00000883,,,
ORD00000884,10-02-2024,Not as described,22
ORD00000885,16-11-2023,Changed mind,5
ORD00000886,,,
ORD00000887,,,
ORD00000888,26-08-2024,Not as described,22
ORD00000889,,,
